show_id,air_date,game_type,topic,money,question,answer
8882,1992-02-07,Regular,COMPLETES THE PLAY TITLE,100,"""A Shot in the...""",Dark
8882,1992-02-07,Regular,U.S. GOVERNMENT,100,"Latin for ""I forbid"", it's the president's power to reject legislation",veto
8882,1992-02-07,Regular,MOVIE QUOTES,100,"""I guess Rosebud is just a piece in a jigsaw puzzle -- -a missing piece""",Citizen Kane
8882,1992-02-07,Regular,WORLD CAPITALS,100,The Pantheon in this capital city contains the tombs of Voltaire & Victor Hugo,Paris
8882,1992-02-07,Regular,GOING TO EXTREMES,100,"This Arlington, Virginia structure covers the largest ground area of any office building",the Pentagon
8882,1992-02-07,Regular,WILD ABOUT HARRY,100,"Magician who was born Ehrich Weiss in Hungary & escaped to Appleton, Wisconsin as a child",Houdini
8882,1992-02-07,Regular,COMPLETES THE PLAY TITLE,200,"""Lady Windermere's...""",Fan
8882,1992-02-07,Regular,U.S. GOVERNMENT,200,This Commerce Dept. agency is best known for collecting & publishing population statistics,the Census Bureau
8882,1992-02-07,Regular,MOVIE QUOTES,200,"""I coulda had class! I coulda been a contender! I coulda been somebody!""",On the Waterfront
8882,1992-02-07,Regular,WORLD CAPITALS,200,"Yung Lo, the third Ming emperor, founded this capital city in the 15th century",Peking
8882,1992-02-07,Regular,GOING TO EXTREMES,200,"The greatest distance from this celestial object to the Earth is approximately 252,000 miles",the Moon
8882,1992-02-07,Regular,WILD ABOUT HARRY,200,"He played Studs Lonigan in an NBC miniseries before becoming an ""L.A. Law"" man",Harry Hamlin
8882,1992-02-07,Regular,COMPLETES THE PLAY TITLE,300,"""Speed-the-...""",Plow
8882,1992-02-07,Regular,U.S. GOVERNMENT,300,"To distinguish it from a grand jury, a trial jury is often called this, from the French for ""small""",petit
8882,1992-02-07,Regular,MOVIE QUOTES,300,"""I am big. It's the pictures that got small""",Sunset Boulevard
8882,1992-02-07,Regular,WORLD CAPITALS,300,"After Cambodia fell to Communists, most residents of this capital were ordered to move",Phnom Penh
8882,1992-02-07,Regular,GOING TO EXTREMES,300,The most massive living thing is the General Sherman tree in this California national park,Sequoia National Park
8882,1992-02-07,Regular,WILD ABOUT HARRY,300,She was the blonde in the rock group Blondie,Debbie Harry
